id_frente,data_referencia,contrato,programa,nucleo,equipe,logradouro,status_frente,observacao_frente,arquivo_origem,data,municipio,nucleo_detectado_texto,municipio_detectado_texto,nucleo_oficial,municipio_oficial,nucleo_status_cadastro,frente,municipio_conflitante_sem_cadastro
F004,12/03/2026,Oeste 1,Água Legal,Cerejas,Reggis,Rua Dezesseis,producao_parcial,⚠️ Obs: Produção impactada devido à chuva.,mensagem_web_20260316_132823.txt,12/03/2026,Jandira,Cerejas,Jandira,Cerejas,Jandira,cadastrado,,
F005,12/03/2026,Oeste 1,Água Legal,Cerejas,Reggis,Rua Dezesseis,paralisada,⚠️ Obs: Equipe atuando na resolução de pendências no núcleo. Produção afetada pela chuva.,mensagem_web_20260316_132823.txt,12/03/2026,Jandira,Cerejas,Jandira,Cerejas,Jandira,cadastrado,,
F001,13/03/2026,Oeste 1,Água Legal,Savoy,Sidney,Rua General Carneiro,producao_parcial,⚠️ Obs: Equipe atuando na resolução de pendências no núcleo. Parte das atividades não foi executada devido à ausência de moradores nas residências.,mensagem_web_20260316_132916.txt,13/03/2026,Carapicuíba,Savoy,Carapicuíba,Savoy,Carapicuíba,cadastrado,,sim
F002,13/03/2026,Oeste 1,Água Legal,Mississipi,Xavier,Viela Quatro / Viela Dois,com_producao,,mensagem_web_20260316_132916.txt,13/03/2026,Barueri,Missisipi,Barueri,Mississipi,Barueri,cadastrado,,
F003,13/03/2026,Oeste 1,Água Legal,Mississipi,Carlos,Viela Cinco / Viela 3,com_producao,,mensagem_web_20260316_132916.txt,13/03/2026,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,
F001,14/03/2026,Oeste 1,Água Legal,Mississipi,Xavier,Viela Um / Viela Três,producao_parcial,⚠️ Obs: Foi executado contrapiso para evitar infiltração em imóvel próximo.,mensagem_web_20260316_133038.txt,14/03/2026,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,
F003,14/03/2026,Oeste 1,Água Legal,Savoy,Sidney,Rua General Carneiro,producao_parcial,⚠️ Obs: Equipe atuando na resolução de pendências e com efetivo reduzido.,mensagem_web_20260316_133038.txt,14/03/2026,Carapicuíba,Savoy,Carapicuíba,Savoy,Carapicuíba,cadastrado,,sim
F001,14/03/2026,Oeste 1,Água Legal,Mississipi,Xavier,Viela Um / Viela Três,producao_parcial,⚠️ Obs: Foi executado contrapiso para evitar infiltração em imóvel próximo.,mensagem_web_20260316_142052.txt,14/03/2026,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,
F003,14/03/2026,Oeste 1,Água Legal,Savoy,Sidney,Rua General Carneiro,producao_parcial,⚠️ Obs: Equipe atuando na resolução de pendências e com efetivo reduzido.,mensagem_web_20260316_142052.txt,14/03/2026,Carapicuíba,Savoy,Carapicuíba,Savoy,Carapicuíba,cadastrado,,sim
F001,11/03/2026,Oeste 1,Agua Legal,Mississipi,Equipe 03,Viela 04,com_producao,,mensagem_web_20260316_212630.txt,11/03/2026,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,
F001,11/03/2026,Oeste 1,Agua Legal,Núcleo Teste Novo,Equipe 09,Viela 99,com_producao,,mensagem_web_20260316_223048.txt,11/03/2026,Barueri,Núcleo Teste Novo,Barueri,,,nao_cadastrado,,
F001,14/03/2026,Oeste 1,Água Legal,Mississipi,Xavier,Viela Um / Viela Três,producao_parcial,⚠️ Obs: Foi executado contrapiso para evitar infiltração em imóvel próximo.,mensagem_web_20260317_193737.txt,14/03/2026,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,
F003,14/03/2026,Oeste 1,Água Legal,Savoy,Sidney,Rua General Carneiro,producao_parcial,⚠️ Obs: Equipe atuando na resolução de pendências e com efetivo reduzido.,mensagem_web_20260317_193737.txt,14/03/2026,Carapicuíba,Savoy,Barueri,Savoy,Carapicuíba,cadastrado,,sim
F001,12/03/2026,Oeste 1,Água Legal,Mississipi,Carlos,Viela Seis / Viela Quatro / Viela 4 / Viela 1 / Viela B,producao_parcial,⚠️ Obs: Serviço executado para evitar infiltração em imóveis próximos. Atividades interrompidas posteriormente devido à tempestade ⛈️.,mensagem_web_20260318_132220.txt,12/03/2026,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,
F002,12/03/2026,Oeste 1,Água Legal,Mississipi,Carlos,Viela Seis / Viela Quatro / Viela 4 / Viela 1 / Viela B,paralisada,⚠️ Obs: Não foi possível dar continuidade ao prolongamento da rede devido às chuvas intensas.,mensagem_web_20260318_132220.txt,12/03/2026,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,
F003,12/03/2026,Oeste 1,Água Legal,Mississipi,Carlos,Viela Seis / Viela Quatro / Viela 4 / Viela 1 / Viela B,com_producao,,mensagem_web_20260318_132220.txt,12/03/2026,Barueri,Mississipi,Barueri,Mississipi,Barueri,cadastrado,,
F004,12/03/2026,Oeste 1,Água Legal,Cerejas,Reggis,Rua Dezesseis,producao_parcial,⚠️ Obs: Produção impactada devido à chuva.,mensagem_web_20260318_132220.txt,12/03/2026,Jandira,Cerejas,Jandira,Cerejas,Jandira,cadastrado,,
F005,12/03/2026,Oeste 1,Água Legal,Cerejas,Reggis,Rua Dezesseis,paralisada,⚠️ Obs: Equipe atuando na resolução de pendências no núcleo. Produção afetada pela chuva.,mensagem_web_20260318_132220.txt,12/03/2026,Jandira,Cerejas,Jandira,Cerejas,Jandira,cadastrado,,
F001,13/03/2026,Oeste 1,Água Legal,Savoy,Sidney,Rua General Carneiro,producao_parcial,⚠️ Obs: Equipe atuando na resolução de pendências no núcleo. Parte das atividades não foi executada devido à ausência de moradores nas residências.,mensagem_web_20260318_134847.txt,13/03/2026,Carapicuíba,Savoy,Carapicuiba,Savoy,Carapicuíba,cadastrado,,sim
F002,13/03/2026,Oeste 1,Água Legal,Mississipi,Xavier,Viela Quatro / Viela Dois / Viela Cinco / Viela 3,com_producao,,mensagem_web_20260318_134847.txt,13/03/2026,Barueri,Missisipi,Barueri,Mississipi,Barueri,cadastrado,,
F001,13/03/2026,Oeste 1,Água Legal,Savoy,Sidney,Rua General Carneiro,producao_parcial,⚠️ Obs: Equipe atuando na resolução de pendências no núcleo. Parte das atividades não foi executada devido à ausência de moradores nas residências.,mensagem_web_20260318_135015.txt,13/03/2026,Carapicuíba,Savoy,Carapicuíba,Savoy,Carapicuíba,cadastrado,,
F002,13/03/2026,Oeste 1,Água Legal,Mississipi,Xavier,Viela Quatro / Viela Dois / Viela Cinco / Viela 3,com_producao,,mensagem_web_20260318_135015.txt,13/03/2026,Barueri,Missisipi,Barueri,Mississipi,Barueri,cadastrado,,
